# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
4.768000e-01 8.686026 8.686050 0.000 1.000000 0.366644 0.990999 0.987581 26.602044 73.665533 73.398221 0.000000e+00
4.559000e-01 8.686028 8.686051 0.000 1.000000 0.366608 0.991186 0.987715 26.599500 73.680247 73.408723 0.000000e+00
4.359000e-01 8.686030 8.686053 0.000 1.000000 0.366573 0.991186 0.987988 26.596968 73.680265 73.430075 0.000000e+00
4.169000e-01 8.686032 8.686054 0.000 1.000000 0.366538 0.991379 0.988127 26.594467 73.695308 73.440950 0.000000e+00
3.986000e-01 8.686033 8.686055 0.000 1.000000 0.366503 0.991379 0.988267 26.591957 73.695317 73.451950 0.000000e+00
3.812000e-01 8.686035 8.686056 0.000 1.000000 0.366468 0.991575 0.988410 26.589479 73.710712 73.463097 0.000000e+00
3.645000e-01 8.686037 8.686057 0.000 1.000000 0.366433 0.991776 0.988700 26.587004 73.726484 73.485809 0.000000e+00
3.485000e-01 8.686038 8.686058 0.000 1.000000 0.366399 0.991776 0.988700 26.584535 73.726493 73.485818 0.000000e+00
3.333000e-01 8.686040 8.686059 0.000 1.000000 0.366365 0.991983 0.988998 26.582098 73.742671 73.509150 0.000000e+00
3.187000e-01 8.686041 8.686060 0.000 1.000000 0.366330 0.991983 0.988998 26.579661 73.742680 73.509159 0.000000e+00
3.047000e-01 8.686043 8.686061 0.000 1.000000 0.366296 0.992195 0.989305 26.577232 73.759296 73.533164 0.000000e+00
2.914000e-01 8.686044 8.686062 0.000 1.000000 0.366263 0.992195 0.989461 26.574830 73.759305 73.545437 0.000000e+00
2.786000e-01 8.686046 8.686063 0.000 1.000000 0.366229 0.992413 0.989621 26.572428 73.776397 73.557910 0.000000e+00
2.665000e-01 8.686047 8.686063 0.000 1.000000 0.366196 0.992638 0.989782 26.570063 73.793999 73.570575 0.000000e+00
2.548000e-01 8.686048 8.686064 0.000 1.000000 0.366163 0.992638 0.989782 26.567685 73.794008 73.570584 0.000000e+00
