Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.16M,0)
1.096000e+13 0.00 1.000000 1.437072 1.620370 1.945405
1.091000e+13 0.00 1.000000 1.438244 1.621617 1.946767
1.089000e+13 0.00 1.000000 1.438715 1.622117 1.947313
1.083000e+13 0.00 1.000000 1.440132 1.623623 1.948960
1.059000e+13 0.00 1.000000 1.445889 1.629741 1.955645
1.051000e+13 0.00 1.000000 1.447839 1.631814 1.957909
1.049000e+13 0.00 1.000000 1.448330 1.632334 1.958478
1.040000e+13 0.00 1.000000 1.450548 1.634692 1.961053
1.035000e+13 0.00 1.000000 1.451790 1.636011 1.962494
1.030000e+13 0.00 1.000000 1.453038 1.637337 1.963943
1.021000e+13 0.00 1.000000 1.455301 1.639741 1.966569
1.019000e+13 0.00 1.000000 1.455807 1.640279 1.967156
9.979000e+12 0.00 1.000000 1.461212 1.646020 1.973425
9.919000e+12 0.00 1.000000 1.462772 1.647676 1.975233
9.727000e+12 0.00 1.000000 1.467833 1.653051 1.981100
9.706000e+12 0.00 1.000000 1.468393 1.653646 1.981750
9.683000e+12 0.00 1.000000 1.469008 1.654299 1.982462
9.683000e+12 0.00 1.000000 1.469008 1.654299 1.982462
9.667000e+12 0.00 1.000000 1.469437 1.654754 1.982959
9.489000e+12 0.00 1.000000 1.474260 1.659875 1.988548
9.483000e+12 0.00 1.000000 1.474424 1.660049 1.988738
9.446000e+12 0.00 1.000000 1.475440 1.661128 1.989915
9.394000e+12 0.00 1.000000 1.476874 1.662651 1.991577
9.340000e+12 0.00 1.000000 1.478374 1.664242 1.993313
9.233000e+12 0.00 1.000000 1.481372 1.667425 1.996785
9.225000e+12 0.00 1.000000 1.481598 1.667665 1.997047
9.214000e+12 0.00 1.000000 1.481908 1.667994 1.997407
9.144000e+12 0.00 1.000000 1.483895 1.670103 1.999707
8.985000e+12 0.00 1.000000 1.488470 1.674958 2.005002
8.943000e+12 0.00 1.000000 1.489693 1.676256 2.006418
8.937000e+12 0.00 1.000000 1.489869 1.676442 2.006621
8.859000e+12 0.00 1.000000 1.492159 1.678872 2.009270
8.770000e+12 0.00 1.000000 1.494799 1.681674 2.012325
8.768000e+12 0.00 1.000000 1.494858 1.681737 2.012394
8.761000e+12 0.00 1.000000 1.495067 1.681958 2.012635
8.714000e+12 0.00 1.000000 1.496475 1.683452 2.014263
8.710000e+12 0.00 1.000000 1.496595 1.683579 2.014402
8.670000e+12 0.00 1.000000 1.497800 1.684858 2.015796
8.606000e+12 0.00 1.000000 1.499741 1.686917 2.018040
8.606000e+12 0.00 1.000000 1.499741 1.686917 2.018040
8.540000e+12 0.00 1.000000 1.501759 1.689057 2.020374
8.455000e+12 0.00 1.000000 1.504383 1.691841 2.023407
8.422000e+12 0.00 1.000000 1.505409 1.692929 2.024594
8.414000e+12 0.00 1.000000 1.505659 1.693194 2.024882
8.389000e+12 0.00 1.000000 1.506440 1.694023 2.025785
8.348000e+12 0.00 1.000000 1.507727 1.695388 2.027273
8.340000e+12 0.00 1.000000 1.507979 1.695655 2.027564
8.317000e+12 0.00 1.000000 1.508705 1.696425 2.028402
8.265000e+12 0.00 1.000000 1.510353 1.698173 2.030308
8.230000e+12 0.00 1.000000 1.511470 1.699357 2.031597
8.211000e+12 0.00 1.000000 1.512078 1.700002 2.032300
8.205000e+12 0.00 1.000000 1.512270 1.700206 2.032522
8.176000e+12 0.00 1.000000 1.513202 1.701194 2.033599
8.172000e+12 0.00 1.000000 1.513331 1.701331 2.033747
8.160000e+12 0.00 1.000000 1.513717 1.701741 2.034194
8.092000e+12 0.00 1.000000 1.515921 1.704078 2.036740
8.090000e+12 0.00 1.000000 1.515986 1.704147 2.036815
8.032000e+12 0.00 1.000000 1.517883 1.706157 2.039005
7.986000e+12 0.00 1.000000 1.519397 1.707763 2.040754
7.928000e+12 0.00 1.000000 1.521321 1.709802 2.042975
7.908000e+12 0.00 1.000000 1.521987 1.710509 2.043745
7.881000e+12 0.00 1.000000 1.522890 1.711466 2.044787
7.846000e+12 0.00 1.000000 1.524066 1.712713 2.046144
7.841000e+12 0.00 1.000000 1.524234 1.712891 2.046339
7.781000e+12 0.00 1.000000 1.526265 1.715043 2.048682
7.775000e+12 0.00 1.000000 1.526468 1.715259 2.048917
7.767000e+12 0.00 1.000000 1.526741 1.715548 2.049232
7.767000e+12 0.00 1.000000 1.526741 1.715548 2.049232
7.699000e+12 0.00 1.000000 1.529067 1.718013 2.051916
7.699000e+12 0.00 1.000000 1.529067 1.718013 2.051916
7.666000e+12 0.00 1.000000 1.530204 1.719218 2.053228
7.664000e+12 0.00 1.000000 1.530273 1.719292 2.053307
7.641000e+12 0.00 1.000000 1.531068 1.720135 2.054226
7.641000e+12 0.00 1.000000 1.531068 1.720135 2.054226
7.631000e+12 0.00 1.000000 1.531415 1.720503 2.054626
7.620000e+12 0.00 1.000000 1.531797 1.720908 2.055067
7.610000e+12 0.00 1.000000 1.532145 1.721276 2.055468
7.558000e+12 0.00 1.000000 1.533962 1.723202 2.057564
7.536000e+12 0.00 1.000000 1.534735 1.724021 2.058455
7.490000e+12 0.00 1.000000 1.536358 1.725741 2.060328
7.469000e+12 0.00 1.000000 1.537103 1.726531 2.061187
7.465000e+12 0.00 1.000000 1.537245 1.726681 2.061351
7.459000e+12 0.00 1.000000 1.537459 1.726907 2.061597
7.438000e+12 0.00 1.000000 1.538207 1.727700 2.062460
7.413000e+12 0.00 1.000000 1.539101 1.728647 2.063490
7.403000e+12 0.00 1.000000 1.539459 1.729027 2.063904
7.378000e+12 0.00 1.000000 1.540357 1.729979 2.064940
7.343000e+12 0.00 1.000000 1.541621 1.731317 2.066396
7.339000e+12 0.00 1.000000 1.541765 1.731471 2.066563
7.335000e+12 0.00 1.000000 1.541910 1.731624 2.066730
7.335000e+12 0.00 1.000000 1.541910 1.731624 2.066730
7.292000e+12 0.00 1.000000 1.543473 1.733280 2.068532
7.269000e+12 0.00 1.000000 1.544313 1.734170 2.069500
7.263000e+12 0.00 1.000000 1.544533 1.734403 2.069753
7.252000e+12 0.00 1.000000 1.544936 1.734830 2.070218
7.217000e+12 0.00 1.000000 1.546223 1.736194 2.071702
7.176000e+12 0.00 1.000000 1.547740 1.737800 2.073449
7.170000e+12 0.00 1.000000 1.547962 1.738036 2.073706
7.159000e+12 0.00 1.000000 1.548371 1.738469 2.074177
7.143000e+12 0.00 1.000000 1.548967 1.739101 2.074864
7.143000e+12 0.00 1.000000 1.548967 1.739101 2.074864
7.139000e+12 0.00 1.000000 1.549116 1.739259 2.075036
7.132000e+12 0.00 1.000000 1.549378 1.739535 2.075337
7.112000e+12 0.00 1.000000 1.550126 1.740328 2.076199
7.106000e+12 0.00 1.000000 1.550351 1.740566 2.076458
7.091000e+12 0.00 1.000000 1.550914 1.741163 2.077107
7.077000e+12 0.00 1.000000 1.551441 1.741721 2.077714
7.072000e+12 0.00 1.000000 1.551629 1.741920 2.077931
7.041000e+12 0.00 1.000000 1.552801 1.743161 2.079281
7.033000e+12 0.00 1.000000 1.553104 1.743482 2.079630
6.961000e+12 0.00 1.000000 1.555850 1.746390 2.082793
6.901000e+12 0.00 1.000000 1.558161 1.748839 2.085456
6.899000e+12 0.00 1.000000 1.558239 1.748921 2.085545
6.880000e+12 0.00 1.000000 1.558976 1.749701 2.086393
6.874000e+12 0.00 1.000000 1.559209 1.749948 2.086662
6.862000e+12 0.00 1.000000 1.559676 1.750443 2.087200
6.833000e+12 0.00 1.000000 1.560808 1.751642 2.088503
6.828000e+12 0.00 1.000000 1.561004 1.751849 2.088729
6.826000e+12 0.00 1.000000 1.561082 1.751932 2.088819
6.775000e+12 0.00 1.000000 1.563088 1.754056 2.091129
6.768000e+12 0.00 1.000000 1.563365 1.754349 2.091447
6.764000e+12 0.00 1.000000 1.563523 1.754517 2.091629
6.756000e+12 0.00 1.000000 1.563840 1.754852 2.091994
6.729000e+12 0.00 1.000000 1.564912 1.755987 2.093228
6.725000e+12 0.00 1.000000 1.565071 1.756156 2.093411
6.725000e+12 0.00 1.000000 1.565071 1.756156 2.093411
6.673000e+12 0.00 1.000000 1.567150 1.758357 2.095804
6.659000e+12 0.00 1.000000 1.567713 1.758953 2.096452
6.655000e+12 0.00 1.000000 1.567874 1.759123 2.096637
6.632000e+12 0.00 1.000000 1.568802 1.760106 2.097705
6.566000e+12 0.00 1.000000 1.571484 1.762946 2.100791
6.551000e+12 0.00 1.000000 1.572098 1.763595 2.101498
6.533000e+12 0.00 1.000000 1.572836 1.764377 2.102347
6.473000e+12 0.00 1.000000 1.575314 1.767000 2.105197
6.442000e+12 0.00 1.000000 1.576604 1.768365 2.106681
6.398000e+12 0.00 1.000000 1.578446 1.770315 2.108800
6.386000e+12 0.00 1.000000 1.578951 1.770850 2.109381
6.361000e+12 0.00 1.000000 1.580006 1.771967 2.110594
6.347000e+12 0.00 1.000000 1.580599 1.772594 2.111276
6.320000e+12 0.00 1.000000 1.581747 1.773808 2.112595
6.318000e+12 0.00 1.000000 1.581832 1.773898 2.112693
6.278000e+12 0.00 1.000000 1.583542 1.775708 2.114659
6.270000e+12 0.00 1.000000 1.583885 1.776072 2.115054
6.266000e+12 0.00 1.000000 1.584057 1.776254 2.115252
6.233000e+12 0.00 1.000000 1.585480 1.777759 2.116887
6.202000e+12 0.00 1.000000 1.586824 1.779182 2.118432
6.198000e+12 0.00 1.000000 1.586998 1.779366 2.118632
6.194000e+12 0.00 1.000000 1.587172 1.779550 2.118832
6.175000e+12 0.00 1.000000 1.588001 1.780427 2.119785
6.138000e+12 0.00 1.000000 1.589622 1.782142 2.121648
6.136000e+12 0.00 1.000000 1.589710 1.782236 2.121749
6.132000e+12 0.00 1.000000 1.589886 1.782422 2.121951
6.113000e+12 0.00 1.000000 1.590724 1.783308 2.122914
6.059000e+12 0.00 1.000000 1.593120 1.785843 2.125667
6.045000e+12 0.00 1.000000 1.593745 1.786505 2.126385
6.031000e+12 0.00 1.000000 1.594372 1.787168 2.127105
6.026000e+12 0.00 1.000000 1.594596 1.787405 2.127363
6.010000e+12 0.00 1.000000 1.595314 1.788165 2.128188
