# M[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
1.288000e+13 1.395997 1.576682 0.000 1.000000 0.641416 8.349701 9.607795 8.293071
1.288000e+13 1.395997 1.576682 0.000 1.000000 0.641416 8.349701 9.607795 8.293071
1.284000e+13 1.396783 1.577518 0.000 1.000000 0.641316 8.352556 9.611763 8.295996
1.279000e+13 1.397768 1.578567 0.000 1.000000 0.641191 8.356132 9.616727 8.299661
1.272000e+13 1.399155 1.580043 0.000 1.000000 0.641016 8.361168 9.623723 8.304819
1.268000e+13 1.399952 1.580890 0.000 1.000000 0.640915 8.364062 9.627750 8.307786
1.268000e+13 1.399952 1.580890 0.000 1.000000 0.640915 8.364062 9.627750 8.307786
1.261000e+13 1.401352 1.582381 0.000 1.000000 0.640738 8.369143 9.634803 8.312993
1.259000e+13 1.401754 1.582808 0.000 1.000000 0.640687 8.370603 9.636835 8.314489
1.255000e+13 1.402559 1.583665 0.000 1.000000 0.640585 8.373524 9.640892 8.317482
1.251000e+13 1.403367 1.584525 0.000 1.000000 0.640483 8.376456 9.644965 8.320484
1.249000e+13 1.403772 1.584956 0.000 1.000000 0.640432 8.377925 9.647007 8.321989
1.242000e+13 1.405196 1.586471 0.000 1.000000 0.640253 8.383093 9.654188 8.327285
1.237000e+13 1.406218 1.587559 0.000 1.000000 0.640124 8.386800 9.659337 8.331084
1.236000e+13 1.406423 1.587777 0.000 1.000000 0.640098 8.387544 9.660371 8.331845
1.233000e+13 1.407039 1.588432 0.000 1.000000 0.640020 8.389778 9.663479 8.334133
1.233000e+13 1.407039 1.588432 0.000 1.000000 0.640020 8.389778 9.663479 8.334133
1.230000e+13 1.407657 1.589089 0.000 1.000000 0.639943 8.392020 9.666598 8.336431
1.210000e+13 1.411818 1.593516 0.000 1.000000 0.639420 8.407111 9.687571 8.351891
1.203000e+13 1.413292 1.595084 0.000 1.000000 0.639236 8.412454 9.695000 8.357364
1.198000e+13 1.414350 1.596210 0.000 1.000000 0.639103 8.416289 9.700328 8.361290
1.197000e+13 1.414563 1.596436 0.000 1.000000 0.639077 8.417062 9.701405 8.362084
1.188000e+13 1.416482 1.598477 0.000 1.000000 0.638837 8.424016 9.711076 8.369205
1.185000e+13 1.417126 1.599162 0.000 1.000000 0.638756 8.426351 9.714321 8.371599
1.183000e+13 1.417556 1.599619 0.000 1.000000 0.638703 8.427909 9.716490 8.373193
1.173000e+13 1.419717 1.601918 0.000 1.000000 0.638433 8.435738 9.727374 8.381213
1.173000e+13 1.419717 1.601918 0.000 1.000000 0.638433 8.435738 9.727374 8.381213
1.169000e+13 1.420588 1.602843 0.000 1.000000 0.638325 8.438894 9.731770 8.384445
1.167000e+13 1.421024 1.603307 0.000 1.000000 0.638271 8.440473 9.733965 8.386063
1.159000e+13 1.422777 1.605172 0.000 1.000000 0.638053 8.446821 9.742791 8.392562
1.152000e+13 1.424323 1.606815 0.000 1.000000 0.637861 8.452421 9.750585 8.398298
1.141000e+13 1.426772 1.609420 0.000 1.000000 0.637557 8.461288 9.762913 8.407377
1.139000e+13 1.427220 1.609896 0.000 1.000000 0.637502 8.462909 9.765172 8.409037
1.139000e+13 1.427220 1.609896 0.000 1.000000 0.637502 8.462909 9.765172 8.409037
1.132000e+13 1.428795 1.611571 0.000 1.000000 0.637307 8.468610 9.773101 8.414875
1.129000e+13 1.429473 1.612292 0.000 1.000000 0.637223 8.471064 9.776514 8.417385
1.126000e+13 1.430154 1.613015 0.000 1.000000 0.637139 8.473529 9.779950 8.419910
1.125000e+13 1.430381 1.613257 0.000 1.000000 0.637111 8.474351 9.781089 8.420751
1.122000e+13 1.431064 1.613983 0.000 1.000000 0.637026 8.476822 9.784529 8.423281
1.109000e+13 1.434046 1.617154 0.000 1.000000 0.636659 8.487611 9.799537 8.434326
1.097000e+13 1.436833 1.620117 0.000 1.000000 0.636316 8.497691 9.813564 8.444646
1.096000e+13 1.437067 1.620365 0.000 1.000000 0.636287 8.498538 9.814746 8.445512
1.091000e+13 1.438239 1.621611 0.000 1.000000 0.636143 8.502775 9.820644 8.449849
1.089000e+13 1.438710 1.622111 0.000 1.000000 0.636085 8.504479 9.823018 8.451596
1.083000e+13 1.440127 1.623617 0.000 1.000000 0.635912 8.509602 9.830151 8.456837
1.059000e+13 1.445884 1.629735 0.000 1.000000 0.635208 8.530409 9.859121 8.478134
1.051000e+13 1.447835 1.631808 0.000 1.000000 0.634970 8.537458 9.868938 8.485350
1.049000e+13 1.448325 1.632328 0.000 1.000000 0.634910 8.539228 9.871407 8.487161
